feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
PackageDeclaration,11,13460,0,9057,22528,0.6,0.4,0.0,1.0,1.48,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,
SuperFinalize,2,13460,0,9066,22528,0.6,0.4,0.0,1.0,1.48,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
TypecastParenPad,4,13460,0,9064,22528,0.6,0.4,0.0,1.0,1.48,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
ClassTypeParameterName,3,13459,1,9065,22528,0.6,0.4,0.0,0.75,0.86,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
IllegalToken,5,13458,2,9063,22528,0.6,0.4,0.0,0.71,0.77,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
NoFinalizer,5,13458,2,9063,22528,0.6,0.4,0.0,0.71,0.77,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
RedundantImport,15,13452,8,9053,22528,0.6,0.4,0.0,0.65,0.62,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,
MethodCount,11,13453,7,9057,22528,0.6,0.4,0.0,0.61,0.52,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,
LocalFinalVariableName,32,13438,22,9036,22528,0.6,0.4,0.0,0.59,0.47,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.02,0.0,
InterfaceMemberImpliedModifier,99,13387,73,8969,22528,0.6,0.4,0.01,0.58,0.43,0.01,0.01,0.01,0.6,0.0,0.0,0.97,0.06,0.0,
ThrowsCount,21,13444,16,9047,22528,0.6,0.4,0.0,0.57,0.41,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.02,0.0,
SuperClone,11,13451,9,9057,22528,0.6,0.4,0.0,0.55,0.37,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,
FallThrough,12,13450,10,9056,22528,0.6,0.4,0.0,0.55,0.36,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,
ParameterNumber,93,13375,85,8975,22528,0.6,0.4,0.01,0.52,0.3,0.01,0.01,0.01,0.6,0.0,0.0,0.97,0.07,0.0,
EmptyStatement,34,13428,32,9034,22528,0.6,0.4,0.0,0.52,0.28,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.03,0.0,
InterfaceTypeParameterName,1,13459,1,9067,22528,0.6,0.4,0.0,0.5,0.24,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
MutableException,1,13459,1,9067,22528,0.6,0.4,0.0,0.5,0.24,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
NoLineWrap,2,13458,2,9066,22528,0.6,0.4,0.0,0.5,0.24,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,
SingleLineJavadoc,12,13448,12,9056,22528,0.6,0.4,0.0,0.5,0.24,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.01,0.0,
CustomImportOrder,28,13431,29,9040,22528,0.6,0.4,0.0,0.49,0.22,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.03,0.0,
GenericWhitespace,43,13414,46,9025,22528,0.6,0.4,0.0,0.48,0.2,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.04,0.0,
UnusedImports,382,13051,409,8686,22528,0.6,0.4,0.04,0.48,0.2,0.04,0.03,0.04,0.59,0.01,-0.0,0.97,0.22,0.0,
ModifierOrder,98,13352,108,8970,22528,0.6,0.4,0.01,0.48,0.18,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.08,0.0,
StaticVariableName,48,13404,56,9020,22528,0.6,0.4,0.0,0.46,0.15,0.01,0.0,0.01,0.6,0.0,-0.0,0.97,0.04,0.0,
AvoidStaticImport,248,13168,292,8820,22528,0.6,0.4,0.02,0.46,0.14,0.03,0.02,0.03,0.59,0.0,-0.0,0.97,0.16,0.0,
LocalVariableName,75,13372,88,8993,22528,0.6,0.4,0.01,0.46,0.14,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.06,0.0,
FinalParameters,805,12500,960,8263,22528,0.59,0.4,0.08,0.46,0.13,0.09,0.07,0.08,0.58,0.01,-0.01,0.97,0.4,0.0,
UnnecessarySemicolonInEnumeration,5,13454,6,9063,22528,0.6,0.4,0.0,0.45,0.13,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.01,0.0,
JavadocMethod,407,12964,496,8661,22528,0.59,0.4,0.04,0.45,0.12,0.04,0.04,0.04,0.59,0.01,-0.01,0.97,0.24,0.0,
AbstractClassName,35,13417,43,9033,22528,0.6,0.4,0.0,0.45,0.11,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.03,0.0,
FinalLocalVariable,912,12334,1126,8156,22528,0.59,0.4,0.09,0.45,0.11,0.1,0.08,0.09,0.58,0.01,-0.02,0.97,0.44,0.0,
NoWhitespaceAfter,105,13329,131,8963,22528,0.6,0.4,0.01,0.44,0.11,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.08,0.0,
EmptyCatchBlock,79,13359,101,8989,22528,0.6,0.4,0.01,0.44,0.09,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.07,0.0,
ImportOrder,874,12348,1112,8194,22528,0.59,0.4,0.09,0.44,0.09,0.1,0.08,0.09,0.58,0.01,-0.02,0.97,0.43,0.0,
InnerTypeLast,206,13195,265,8862,22528,0.59,0.4,0.02,0.44,0.09,0.02,0.02,0.02,0.59,0.0,-0.0,0.97,0.15,0.0,
NonEmptyAtclauseDescription,125,13301,159,8943,22528,0.6,0.4,0.01,0.44,0.09,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.1,0.0,
LeftCurly,304,13062,398,8764,22528,0.59,0.4,0.03,0.43,0.08,0.03,0.03,0.03,0.59,0.0,-0.01,0.97,0.2,0.0,
ExplicitInitialization,169,13238,222,8899,22528,0.6,0.4,0.02,0.43,0.07,0.02,0.02,0.02,0.59,0.0,-0.0,0.97,0.13,0.0,
Indentation,699,12535,925,8369,22528,0.59,0.4,0.07,0.43,0.07,0.08,0.07,0.07,0.58,0.01,-0.02,0.97,0.37,0.0,
JavadocType,16,13439,21,9052,22528,0.6,0.4,0.0,0.43,0.07,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.02,0.0,
LineLength,1156,11920,1540,7912,22528,0.58,0.4,0.12,0.43,0.07,0.13,0.11,0.11,0.57,0.01,-0.03,0.97,0.53,0.0,
JavadocVariable,739,12460,1000,8329,22528,0.59,0.4,0.08,0.42,0.06,0.08,0.07,0.07,0.58,0.01,-0.02,0.97,0.39,0.0,
MemberName,51,13391,69,9017,22528,0.6,0.4,0.01,0.42,0.06,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.05,0.0,
WhitespaceAround,726,12492,968,8342,22528,0.59,0.4,0.08,0.43,0.06,0.08,0.07,0.07,0.58,0.01,-0.02,0.97,0.39,0.0,
MissingJavadocMethod,667,12546,914,8401,22528,0.59,0.4,0.07,0.42,0.05,0.07,0.07,0.07,0.58,0.0,-0.02,0.97,0.37,0.0,
ParenPad,245,13128,332,8823,22528,0.59,0.4,0.03,0.42,0.05,0.03,0.02,0.03,0.59,0.0,-0.01,0.97,0.17,0.0,
same_day_duration_avg,4737,6941,6519,4331,22528,0.52,0.4,0.5,0.42,0.05,0.52,0.48,0.3,0.5,0.04,-0.13,0.97,1.0,0.0,
AtclauseOrder,101,13319,141,8967,22528,0.6,0.4,0.01,0.42,0.04,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.09,0.0,
