feature_name,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP
OuterTypeNumber,0.03,0.33,0.18856180831641264,2.0,0.12315547641428395,0.12385366447753063,7966.0,0.95,0.0,0.5,10.07,0.0,0.0,0.0,,0.36
OneTopLevelClass,0.03,0.33,0.18856180831641264,2.0,0.12315547641428395,0.12385366447753063,7966.0,0.95,0.0,0.5,10.07,0.0,0.0,0.0,,0.36
MissingJavadocPackage,0.05,0.35,0.2772383651501197,5.0,0.12306792144286316,0.12365709912860462,7963.0,0.95,0.0,0.4,7.85,0.01,0.01,0.0,,0.39
NoWhitespaceAfter,0.13,0.3,0.2926581604073566,62.0,0.12181241450970882,0.12066686074250267,7906.0,0.95,0.01,0.34,6.5,0.06,0.05,0.01,0.0,0.32
Regexp,0.02,0.25,0.2261573006905755,3.0,0.12316118940377081,0.12384865221026221,7965.0,0.95,0.0,0.33,6.38,0.0,0.0,0.0,,0.26
any-REGEXP CHECKS,0.02,0.25,0.2261573006905755,3.0,0.12316118940377081,0.12384865221026221,7965.0,0.95,0.0,0.33,6.38,0.0,0.0,0.0,,0.26
NestedForDepth,0.01,0.17,0.22849040547620061,3.0,0.12319117354392443,0.12386818706671142,7965.0,0.95,0.0,0.33,6.38,0.0,0.0,0.0,,0.16
OverloadMethodsDeclarationOrder,0.09,0.27,0.23611806028297683,45.0,0.12239536024763088,0.12252331945366254,7923.0,0.95,0.01,0.27,4.9,0.03,0.03,0.0,-1.0,0.29
NPathComplexity,0.02,0.22,0.1161117582125329,8.0,0.1231101162206264,0.12387660207900718,7960.0,0.95,0.0,0.25,4.53,0.01,0.01,0.0,,0.22
NoClone,0.02,0.24,0.29597476432326564,5.0,0.1231355321220524,0.12372807320396134,7963.0,0.95,0.0,0.2,3.43,0.0,0.0,0.0,,0.25
TypecastParenPad,0.02,0.21,0.22784727114138711,5.0,0.12315210198666947,0.12381424340662534,7963.0,0.95,0.0,0.2,3.43,0.0,0.0,0.0,,0.21
JavadocTagContinuationIndentation,0.02,0.15,0.17768444252205048,41.0,0.12305074485771675,0.12355843223070398,7927.0,0.95,0.01,0.2,3.32,0.02,0.02,0.01,0.0,0.14
EmptyCatchBlock,0.02,0.18,0.15803664259005168,11.0,0.12312815210424956,0.1238410914845312,7957.0,0.95,0.0,0.18,3.02,0.01,0.01,0.0,,0.17
ArrayTypeStyle,0.02,0.17,0.16921198293555798,17.0,0.12309781538098535,0.1237776845733885,7951.0,0.95,0.0,0.18,2.91,0.01,0.01,0.0,,0.16
TrailingComment,0.08,0.19,0.21041817473030816,206.0,0.12155120951615937,0.12034607444090419,7762.0,0.94,0.03,0.17,2.76,0.1,0.07,0.02,-0.33333333333333326,0.19
MissingSwitchDefault,0.02,0.17,0.13572774216512368,28.0,0.12304940657266558,0.12383755621328857,7940.0,0.95,0.0,0.14,2.16,0.01,0.01,0.0,,0.16
MethodParamPad,0.04,0.19,0.24090786263015473,39.0,0.12286651542669465,0.12298336990626671,7929.0,0.95,0.0,0.13,1.84,0.01,0.01,0.0,,0.19
ReturnCount,0.06,0.16,0.1637062846432002,292.0,0.12180830367510863,0.12192570361872597,7676.0,0.93,0.04,0.13,1.8,0.1,0.06,0.03,-0.25,0.15
PackageDeclaration,0.02,0.19,0.15253142786642634,8.0,0.12313723368021873,0.12386030721086688,7960.0,0.95,0.0,0.12,1.77,0.0,0.0,0.0,,0.19
EqualsAvoidNull,0.02,0.17,0.1501750423098136,24.0,0.12305363665511924,0.12379246388416103,7944.0,0.95,0.0,0.12,1.77,0.01,0.01,0.0,,0.16
