feature,Pearson
random_metric_cmp,1.0
JavadocStyle_cmp,0.03037639458946988
AvoidNestedBlocks_cmp,0.02706932700512794
NoClone_cmp,0.024954647240897326
ParameterAssignment_cmp,0.02329226076958339
FinalClass_cmp,0.022694507822582834
LeftCurly_cmp,0.020313248896582866
ParameterNumber_cmp,0.01982235703882201
FileLength_cmp,0.018852688535451963
avg_coupling_code_size_cut_cmp,0.018694883252366738
ArrayTypeStyle_cmp,0.018283207222672043
InnerAssignment_cmp,0.018143415120251773
SuperClone_cmp,0.018059476255262663
FinalParameters_cmp,0.01773327577957682
ParameterName_cmp,0.01772988627335993
JavadocTagContinuationIndentation_cmp,0.01690188880795278
AvoidStarImport_cmp,0.016340518968945793
WhitespaceAround_cmp,0.01624711166772638
CommentsIndentation_cmp,0.015133049414236434
AvoidStaticImport_cmp,0.014333987646809222
ArrayTrailingComma_cmp,0.014101224077825866
NeedBraces_cmp,0.014071376464875548
JavadocMethod_cmp,0.013986293213226229
JavadocType_cmp,0.013562005952903631
MethodTypeParameterName_cmp,0.013213476401109892
ImportControl_cmp,0.013097102939296156
NestedIfDepth_cmp,0.012492957999985963
TrailingComment_cmp,0.011993279587920075
LocalVariableName_cmp,0.011652110465223457
InnerTypeLast_cmp,0.011633544068020966
AnonInnerLength_cmp,0.011543505741858114
MethodLength_cmp,0.0104352235513534
FileTabCharacter_cmp,0.010214330654035635
SummaryJavadoc_cmp,0.0100657012651517
MethodParamPad_cmp,0.009896129089589567
NestedTryDepth_cmp,0.009862477919572541
MissingJavadocMethod_cmp,0.008958981653620914
ClassFanOutComplexity_cmp,0.008707346675343756
FinalLocalVariable_cmp,0.008440878113878952
EqualsHashCode_cmp,0.008375350988331625
MethodCount_cmp,0.007893835616141926
DesignForExtension_cmp,0.007833873546875038
RequireThis_cmp,0.007695094196747228
OverloadMethodsDeclarationOrder_cmp,0.007259546802557401
InterfaceIsType_cmp,0.007135799735819609
LineLength_cmp,0.006989425483193103
MethodName_cmp,0.0067652323561683365
MissingJavadocPackage_cmp,0.006690718113074369
LocalFinalVariableName_cmp,0.0065822417308135745
ExecutableStatementCount_cmp,0.006537925445094237
TypeName_cmp,0.006493515238348323
AnnotationUseStyle_cmp,0.006488736844604064
SimplifyBooleanReturn_cmp,0.006284930528341482
HideUtilityClassConstructor_cmp,0.006200857686919045
EmptyForInitializerPad_cmp,0.0061311098390520085
WhitespaceAfter_cmp,0.006121678350777124
AnnotationOnSameLine_cmp,0.005838199431964153
InterfaceTypeParameterName_cmp,0.005075634638119844
StaticVariableName_cmp,0.004786040268051373
same_day_duration_avg_cmp,0.004762932166486436
JavaNCSS_cmp,0.004647814101418953
ClassTypeParameterName_cmp,0.004277741437390812
EmptyCatchBlock_cmp,0.004137248892071985
TypecastParenPad_cmp,0.004064072286093787
SuperFinalize_cmp,0.00404003405376465
ReturnCount_cmp,0.003890375516760645
MissingJavadocType_cmp,0.003728773463957037
GenericWhitespace_cmp,0.003453164704829519
PackageName_cmp,0.003242657320361199
UnnecessaryParentheses_cmp,0.0026094202274997906
MultipleVariableDeclarations_cmp,0.0023857613457786363
ClassMemberImpliedModifier_cmp,0.0021871810275145512
DeclarationOrder_cmp,0.0017338961502735548
OperatorWrap_cmp,0.0016002858247945973
VariableDeclarationUsageDistance_cmp,0.0015835432471691829
NoFinalizer_cmp,0.001495140698968115
file_ccp_cmp,0.001392325652653636
AnnotationLocation_cmp,0.0005688149097880706
BooleanExpressionComplexity_cmp,0.0004072751238967432
MissingSwitchDefault_cmp,-1.485202842223816e-06
IllegalType_cmp,-0.00033220945233487933
StringLiteralEquality_cmp,-0.0004841706455003888
MissingDeprecated_cmp,-0.0005999596388513893
NewlineAtEndOfFile_cmp,-0.0007145323115391453
ModifierOrder_cmp,-0.0007423091174669272
SingleSpaceSeparator_cmp,-0.0010882356351731696
ConstantName_cmp,-0.0011184266164748645
AvoidEscapedUnicodeCharacters_cmp,-0.001375708714670918
EmptyStatement_cmp,-0.0018740524662649903
TodoComment_cmp,-0.0029972876532541022
MagicNumber_cmp,-0.003004760623437064
NestedForDepth_cmp,-0.0031679938794672373
MissingCtor_cmp,-0.003416226422567518
NoWhitespaceBefore_cmp,-0.0034597976470382174
RedundantImport_cmp,-0.0038723849188065343
ThrowsCount_cmp,-0.004312566187707649
HiddenField_cmp,-0.0046229376539365106
