Unnamed: 0,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,cochange_true_positives,cochange_true_negatives,cochange_false_positives,cochange_false_negatives,cochange_samples,cochange_accuracy,cochange_positive_rate,cochange_hit_rate,cochange_precision,cochange_precision_lift,cochange_recall,cochange_fpr,cochange_jaccard,cochange_independent_prob,cochange_lift_over_independent,cochange_lift_over_majority,cochange_concept_entropy,cochange_classifier_entropy,cochange_mutual_information,cochange_comment,cond_mean_prev_touch_ago,cond_mean_diff_prev_touch_ago,monotonicity,line_pearson,removal_removal_probability,removal_true_positives,removal_false_positives,twins_true_positives,twins_true_negatives,twins_false_positives,twins_false_negatives,twins_samples,twins_accuracy,twins_positive_rate,twins_hit_rate,twins_precision,twins_precision_lift,twins_recall,twins_fpr,twins_jaccard,twins_independent_prob,twins_lift_over_independent,twins_lift_over_majority,twins_concept_entropy,twins_classifier_entropy,twins_mutual_information,twins_comment,control_medium_Unnamed: 0,control_medium_true_positives,control_medium_true_negatives,control_medium_false_positives,control_medium_false_negatives,control_medium_samples,control_medium_accuracy,control_medium_positive_rate,control_medium_hit_rate,control_medium_precision,control_medium_precision_lift,control_medium_recall,control_medium_fpr,control_medium_jaccard,control_medium_independent_prob,control_medium_lift_over_independent,control_medium_lift_over_majority,control_medium_concept_entropy,control_medium_classifier_entropy,control_medium_mutual_information,control_medium_comment,control_short_Unnamed: 0,control_short_true_positives,control_short_true_negatives,control_short_false_positives,control_short_false_negatives,control_short_samples,control_short_accuracy,control_short_positive_rate,control_short_hit_rate,control_short_precision,control_short_precision_lift,control_short_recall,control_short_fpr,control_short_jaccard,control_short_independent_prob,control_short_lift_over_independent,control_short_lift_over_majority,control_short_concept_entropy,control_short_classifier_entropy,control_short_mutual_information,control_short_comment,control_long_Unnamed: 0,control_long_true_positives,control_long_true_negatives,control_long_false_positives,control_long_false_negatives,control_long_samples,control_long_accuracy,control_long_positive_rate,control_long_hit_rate,control_long_precision,control_long_precision_lift,control_long_recall,control_long_fpr,control_long_jaccard,control_long_independent_prob,control_long_lift_over_independent,control_long_lift_over_majority,control_long_concept_entropy,control_long_classifier_entropy,control_long_mutual_information,control_long_comment
0,MissingJavadocPackage,2.0,24774.0,2.0,8257.0,33035.0,0.75,0.25,0.0,0.5,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.81,0.0,0.0,,0,13460,0,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,53585.99444444443,16768.211084119284,True,-0.003168739943070995,0.0,2,0,99,137873,49,122859,260880,0.53,0.47,0.0,0.67,0.42,0.0,0.0,0.0,0.53,0.0,0.0,1.0,0.01,0.0,,145,0.0,12244.0,1.0,4289.0,16534.0,0.74,0.26,0.0,0.0,-1.0,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.0,0.0,,11,2.0,5705.0,1.0,2728.0,8436.0,0.68,0.32,0.0,0.67,1.06,0.0,0.0,0.0,0.68,0.0,0.0,0.91,0.0,0.0,,149,0.0,6825.0,0.0,1240.0,8065.0,0.85,0.15,0.0,0.0,-1.0,0.0,0.0,0.0,0.85,0.0,0.0,0.62,0.0,0.0,
1,AtclauseOrder,791.0,23919.0,857.0,7468.0,33035.0,0.75,0.25,0.05,0.48,0.92,0.1,0.03,0.09,0.73,0.03,-0.0,0.81,0.29,0.01,,101,13319,141,8967,22528,0.6,0.4,0.01,0.42,0.04,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.09,0.0,,50819.3646059098,14001.58124558464,True,0.06231678866446801,0.29000000000000004,523,209,2887,132014,5908,120071,260880,0.52,0.47,0.03,0.33,-0.3,0.02,0.04,0.02,0.53,-0.02,-0.02,1.0,0.21,0.0,,1,355.0,11900.0,345.0,3934.0,16534.0,0.74,0.26,0.04,0.51,0.96,0.08,0.03,0.08,0.72,0.03,0.0,0.83,0.25,0.01,,5,322.0,5676.0,30.0,2408.0,8436.0,0.71,0.32,0.04,0.91,1.83,0.12,0.01,0.12,0.66,0.07,0.05,0.91,0.25,0.05,,20,114.0,6343.0,482.0,1126.0,8065.0,0.8,0.15,0.07,0.19,0.24,0.09,0.07,0.07,0.8,0.01,-0.05,0.62,0.38,0.0,
2,MutableException,16.0,24755.0,21.0,8243.0,33035.0,0.75,0.25,0.0,0.43,0.73,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,,1,13459,1,9067,22528,0.6,0.4,0.0,0.5,0.24,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,81505.26037004941,44687.477009724236,True,0.003938419423749014,0.07999999999999996,24,2,45,137872,50,122913,260880,0.53,0.47,0.0,0.47,0.01,0.0,0.0,0.0,0.53,0.0,-0.0,1.0,0.0,0.0,,4,5.0,12239.0,6.0,4284.0,16534.0,0.74,0.26,0.0,0.45,0.75,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,,13,10.0,5700.0,6.0,2720.0,8436.0,0.68,0.32,0.0,0.62,0.93,0.0,0.0,0.0,0.68,0.0,0.0,0.91,0.02,0.0,,139,1.0,6816.0,9.0,1239.0,8065.0,0.85,0.15,0.0,0.1,-0.35,0.0,0.0,0.0,0.85,-0.0,-0.0,0.62,0.01,0.0,
3,IllegalImport,10.0,24762.0,14.0,8249.0,33035.0,0.75,0.25,0.0,0.42,0.67,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,,0,13453,7,9068,22528,0.6,0.4,0.0,0.0,-1.0,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,,45529.24814362863,8711.464783303483,False,0.010871394765520131,0.33,12,6,73,137675,247,122885,260880,0.53,0.47,0.0,0.23,-0.52,0.0,0.0,0.0,0.53,-0.0,-0.0,1.0,0.01,0.0,,7,3.0,12241.0,4.0,4286.0,16534.0,0.74,0.26,0.0,0.43,0.65,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,,4,3.0,5706.0,0.0,2727.0,8436.0,0.68,0.32,0.0,1.0,2.09,0.0,0.0,0.0,0.68,0.0,0.0,0.91,0.0,0.0,,2,4.0,6815.0,10.0,1236.0,8065.0,0.85,0.15,0.0,0.29,0.86,0.0,0.0,0.0,0.85,0.0,-0.0,0.62,0.02,0.0,
4,InterfaceTypeParameterName,15.0,24751.0,25.0,8244.0,33035.0,0.75,0.25,0.0,0.38,0.5,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,,1,13459,1,9067,22528,0.6,0.4,0.0,0.5,0.24,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,39301.99555986803,2484.212199542875,True,0.0045972682532185,0.040000000000000036,23,1,21,137858,64,122937,260880,0.53,0.47,0.0,0.25,-0.48,0.0,0.0,0.0,0.53,-0.0,-0.0,1.0,0.0,0.0,,0,8.0,12240.0,5.0,4281.0,16534.0,0.74,0.26,0.0,0.62,1.37,0.0,0.0,0.0,0.74,0.0,0.0,0.83,0.01,0.0,,46,4.0,5700.0,6.0,2726.0,8436.0,0.68,0.32,0.0,0.4,0.24,0.0,0.0,0.0,0.68,0.0,-0.0,0.91,0.01,0.0,,25,3.0,6811.0,14.0,1237.0,8065.0,0.84,0.15,0.0,0.18,0.15,0.0,0.0,0.0,0.84,0.0,-0.0,0.62,0.02,0.0,
5,EmptyForInitializerPad,5.0,24767.0,9.0,8254.0,33035.0,0.75,0.25,0.0,0.36,0.43,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,,1,13458,2,9067,22528,0.6,0.4,0.0,0.33,-0.17,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.0,0.0,,45575.20736836263,8757.424008037473,True,0.01510955890918564,0.5,3,3,24,137884,38,122934,260880,0.53,0.47,0.0,0.39,-0.18,0.0,0.0,0.0,0.53,-0.0,-0.0,1.0,0.0,0.0,,98,1.0,12242.0,3.0,4288.0,16534.0,0.74,0.26,0.0,0.25,-0.04,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.0,0.0,,136,0.0,5706.0,0.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,-0.0,,0,4.0,6819.0,6.0,1236.0,8065.0,0.85,0.15,0.0,0.4,1.6,0.0,0.0,0.0,0.85,0.0,-0.0,0.62,0.01,0.0,
6,TypeName,111.0,24552.0,224.0,8148.0,33035.0,0.75,0.25,0.01,0.33,0.33,0.01,0.01,0.01,0.74,0.0,-0.0,0.81,0.08,0.0,,2,13453,7,9066,22528,0.6,0.4,0.0,0.22,-0.45,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,,44311.174160692404,7493.390800367249,True,0.044866004050543015,0.020000000000000014,184,3,1038,136748,1174,121920,260880,0.53,0.47,0.01,0.47,-0.0,0.01,0.01,0.01,0.53,-0.0,-0.0,1.0,0.07,0.0,,12,57.0,12143.0,102.0,4232.0,16534.0,0.74,0.26,0.01,0.36,0.38,0.01,0.01,0.01,0.74,0.0,-0.0,0.83,0.08,0.0,,7,27.0,5698.0,8.0,2703.0,8436.0,0.68,0.32,0.0,0.77,1.38,0.01,0.0,0.01,0.67,0.01,0.0,0.91,0.04,0.0,,18,27.0,6711.0,114.0,1213.0,8065.0,0.84,0.15,0.02,0.19,0.25,0.02,0.02,0.02,0.83,0.0,-0.01,0.62,0.13,0.0,
7,SuperFinalize,5.0,24766.0,10.0,8254.0,33035.0,0.75,0.25,0.0,0.33,0.33,0.0,0.0,0.0,0.75,0.0,-0.0,0.81,0.01,0.0,,2,13460,0,9066,22528,0.6,0.4,0.0,1.0,1.48,0.0,0.0,0.0,0.6,0.0,0.0,0.97,0.0,0.0,,36326.74346644096,-491.03989388419717,True,0.036086203113642135,0.06000000000000005,16,1,15,137901,21,122943,260880,0.53,0.47,0.0,0.42,-0.12,0.0,0.0,0.0,0.53,-0.0,-0.0,1.0,0.0,0.0,,2,2.0,12243.0,2.0,4287.0,16534.0,0.74,0.26,0.0,0.5,0.93,0.0,0.0,0.0,0.74,0.0,0.0,0.83,0.0,0.0,,137,0.0,5705.0,1.0,2730.0,8436.0,0.68,0.32,0.0,0.0,-1.0,0.0,0.0,0.0,0.68,-0.0,-0.0,0.91,0.0,0.0,,1,3.0,6818.0,7.0,1237.0,8065.0,0.85,0.15,0.0,0.3,0.95,0.0,0.0,0.0,0.85,0.0,-0.0,0.62,0.01,0.0,
8,FileTabCharacter,2505.0,19150.0,5626.0,5754.0,33035.0,0.66,0.25,0.25,0.31,0.23,0.3,0.23,0.18,0.63,0.05,-0.13,0.81,0.81,0.0,,162,13106,354,8906,22528,0.59,0.4,0.02,0.31,-0.22,0.02,0.03,0.02,0.59,-0.01,-0.01,0.97,0.16,0.0,,43688.159255323815,6870.375894998666,True,0.035991950926579176,0.08999999999999997,4948,516,548,136498,1424,122410,260880,0.53,0.47,0.01,0.28,-0.41,0.0,0.01,0.0,0.53,-0.01,-0.01,1.0,0.06,0.0,,33,1251.0,9457.0,2788.0,3038.0,16534.0,0.65,0.26,0.24,0.31,0.19,0.29,0.23,0.18,0.62,0.04,-0.13,0.83,0.8,0.0,,34,838.0,4726.0,980.0,1892.0,8436.0,0.66,0.32,0.22,0.46,0.42,0.31,0.17,0.23,0.6,0.1,-0.02,0.91,0.75,0.02,,23,416.0,4967.0,1858.0,824.0,8065.0,0.67,0.15,0.28,0.18,0.19,0.34,0.27,0.13,0.65,0.03,-0.21,0.62,0.86,0.0,
9,UncommentedMain,273.0,24131.0,645.0,7986.0,33035.0,0.74,0.25,0.03,0.3,0.19,0.03,0.03,0.03,0.74,0.0,-0.02,0.81,0.18,0.0,,1,13451,9,9067,22528,0.6,0.4,0.0,0.1,-0.75,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,,36785.47371557536,-32.30964474979555,False,0.013821374169967348,0.020000000000000014,554,10,1767,136882,1040,121191,260880,0.53,0.47,0.01,0.63,0.34,0.01,0.01,0.01,0.53,0.01,0.01,1.0,0.09,0.0,,22,129.0,11971.0,274.0,4160.0,16534.0,0.73,0.26,0.02,0.32,0.23,0.03,0.02,0.03,0.73,0.0,-0.01,0.83,0.17,0.0,,65,121.0,5475.0,231.0,2609.0,8436.0,0.66,0.32,0.04,0.34,0.06,0.04,0.04,0.04,0.66,0.0,-0.02,0.91,0.25,0.0,,100,23.0,6685.0,140.0,1217.0,8065.0,0.83,0.15,0.02,0.14,-0.08,0.02,0.02,0.02,0.83,-0.0,-0.02,0.62,0.14,0.0,
