,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
0,PackageDeclaration,52.0,25460.0,44.0,7479.0,33035.0,0.77,0.23,0.0,0.54,1.38,0.01,0.0,0.01,0.77,0.0,0.0,0.77,0.03,0.0,
1,LambdaParameterName,51.0,25404.0,100.0,7480.0,33035.0,0.77,0.23,0.0,0.34,0.48,0.01,0.0,0.01,0.77,0.0,-0.0,0.77,0.04,0.0,
2,TypeName,111.0,25280.0,224.0,7420.0,33035.0,0.77,0.23,0.01,0.33,0.45,0.01,0.01,0.01,0.77,0.0,-0.0,0.77,0.08,0.0,
3,RedundantImport,41.0,25418.0,86.0,7490.0,33035.0,0.77,0.23,0.0,0.32,0.42,0.01,0.0,0.01,0.77,0.0,-0.0,0.77,0.04,0.0,
4,UncommentedMain,275.0,24861.0,643.0,7256.0,33035.0,0.76,0.23,0.03,0.3,0.31,0.04,0.03,0.03,0.76,0.01,-0.01,0.77,0.18,0.0,
5,IllegalImport,7.0,25487.0,17.0,7524.0,33035.0,0.77,0.23,0.0,0.29,0.28,0.0,0.0,0.0,0.77,0.0,-0.0,0.77,0.01,0.0,
6,CustomImportOrder,205.0,24995.0,509.0,7326.0,33035.0,0.76,0.23,0.02,0.29,0.26,0.03,0.02,0.03,0.76,0.0,-0.01,0.77,0.15,0.0,
7,EqualsHashCode,38.0,25409.0,95.0,7493.0,33035.0,0.77,0.23,0.0,0.29,0.25,0.01,0.0,0.0,0.77,0.0,-0.0,0.77,0.04,0.0,
8,PackageName,24.0,25441.0,63.0,7507.0,33035.0,0.77,0.23,0.0,0.28,0.21,0.0,0.0,0.0,0.77,0.0,-0.0,0.77,0.03,0.0,
9,NewlineAtEndOfFile,605.0,23862.0,1642.0,6926.0,33035.0,0.74,0.23,0.07,0.27,0.18,0.08,0.06,0.07,0.74,0.01,-0.04,0.77,0.36,0.0,
10,AnnotationUseStyle,216.0,24884.0,620.0,7315.0,33035.0,0.76,0.23,0.03,0.26,0.13,0.03,0.02,0.03,0.76,0.0,-0.02,0.77,0.17,0.0,
11,UnnecessarySemicolonInTryWithResources,10.0,25475.0,29.0,7521.0,33035.0,0.77,0.23,0.0,0.26,0.12,0.0,0.0,0.0,0.77,0.0,-0.0,0.77,0.01,0.0,
12,AbstractClassName,538.0,23923.0,1581.0,6993.0,33035.0,0.74,0.23,0.06,0.25,0.11,0.07,0.06,0.06,0.74,0.0,-0.04,0.77,0.34,0.0,
13,LeftCurly,1166.0,21817.0,3687.0,6365.0,33035.0,0.7,0.23,0.15,0.24,0.05,0.15,0.14,0.1,0.69,0.01,-0.1,0.77,0.6,0.0,
14,MissingJavadocType,3734.0,13601.0,11903.0,3797.0,33035.0,0.52,0.23,0.47,0.24,0.05,0.5,0.47,0.19,0.51,0.02,-0.32,0.77,1.0,0.0,
15,MissingCtor,3030.0,15759.0,9745.0,4501.0,33035.0,0.57,0.23,0.39,0.24,0.04,0.4,0.38,0.18,0.56,0.01,-0.26,0.77,0.96,0.0,
16,UnnecessarySemicolonInEnumeration,40.0,25376.0,128.0,7491.0,33035.0,0.77,0.23,0.01,0.24,0.04,0.01,0.01,0.01,0.77,0.0,-0.0,0.77,0.05,0.0,
17,AnnotationOnSameLine,6092.0,5737.0,19767.0,1439.0,33035.0,0.36,0.23,0.78,0.24,0.03,0.81,0.78,0.22,0.35,0.03,-0.54,0.77,0.76,0.0,
18,JavadocPackage,1247.0,21400.0,4104.0,6284.0,33035.0,0.69,0.23,0.16,0.23,0.02,0.17,0.16,0.11,0.68,0.0,-0.11,0.77,0.64,0.0,
19,WriteTag,4222.0,11610.0,13894.0,3309.0,33035.0,0.48,0.23,0.55,0.23,0.02,0.56,0.54,0.2,0.47,0.01,-0.38,0.77,0.99,0.0,
20,HideUtilityClassConstructor,472.0,23909.0,1595.0,7059.0,33035.0,0.74,0.23,0.06,0.23,0.0,0.06,0.06,0.05,0.74,0.0,-0.04,0.77,0.34,0.0,
21,ImportControl,7531.0,16.0,25488.0,0.0,33035.0,0.23,0.23,1.0,0.23,0.0,1.0,1.0,0.23,0.23,0.0,-0.7,0.77,0.01,0.0,
