,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
0,MissingJavadocPackage,3.0,24383.0,1.0,8648.0,33035.0,0.74,0.26,0.0,0.75,1.86,0.0,0.0,0.0,0.74,0.0,0.0,0.83,0.0,0.0,
1,TypecastParenPad,17.0,24370.0,14.0,8634.0,33035.0,0.74,0.26,0.0,0.55,1.09,0.0,0.0,0.0,0.74,0.0,0.0,0.83,0.01,0.0,
2,OuterTypeNumber,31.0,24344.0,40.0,8620.0,33035.0,0.74,0.26,0.0,0.44,0.67,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.02,0.0,
3,OneTopLevelClass,31.0,24344.0,40.0,8620.0,33035.0,0.74,0.26,0.0,0.44,0.67,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.02,0.0,
4,CovariantEquals,6.0,24375.0,9.0,8645.0,33035.0,0.74,0.26,0.0,0.4,0.53,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.01,0.0,
5,NestedTryDepth,170.0,24119.0,265.0,8481.0,33035.0,0.74,0.26,0.01,0.39,0.49,0.02,0.01,0.02,0.73,0.0,-0.0,0.83,0.1,0.0,
6,FallThrough,85.0,24250.0,134.0,8566.0,33035.0,0.74,0.26,0.01,0.39,0.48,0.01,0.01,0.01,0.73,0.0,-0.0,0.83,0.06,0.0,
7,EmptyForIteratorPad,130.0,24179.0,205.0,8521.0,33035.0,0.74,0.26,0.01,0.39,0.48,0.02,0.01,0.01,0.73,0.0,-0.0,0.83,0.08,0.0,
8,ModifiedControlVariable,170.0,24097.0,287.0,8481.0,33035.0,0.73,0.26,0.01,0.37,0.42,0.02,0.01,0.02,0.73,0.0,-0.0,0.83,0.11,0.0,
9,JavadocTagContinuationIndentation,535.0,23451.0,933.0,8116.0,33035.0,0.73,0.26,0.04,0.36,0.39,0.06,0.04,0.06,0.72,0.01,-0.02,0.83,0.26,0.0,
10,ClassTypeParameterName,41.0,24311.0,73.0,8610.0,33035.0,0.74,0.26,0.0,0.36,0.37,0.0,0.0,0.0,0.74,0.0,-0.0,0.83,0.03,0.0,
