,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
0,CovariantEquals,6.0,24660.0,9.0,8360.0,33035.0,0.75,0.25,0.0,0.4,0.58,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,
1,NoFinalizer,12.0,24647.0,22.0,8354.0,33035.0,0.75,0.25,0.0,0.35,0.39,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,
2,MethodTypeParameterName,36.0,24599.0,70.0,8330.0,33035.0,0.75,0.25,0.0,0.34,0.34,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,
3,SuperClone,28.0,24614.0,55.0,8338.0,33035.0,0.75,0.25,0.0,0.34,0.33,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,
4,SuperFinalize,5.0,24659.0,10.0,8361.0,33035.0,0.75,0.25,0.0,0.33,0.32,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,
5,Regexp,1.0,24667.0,2.0,8365.0,33035.0,0.75,0.25,0.0,0.33,0.32,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.0,0.0,
6,NoLineWrap,4.0,24660.0,9.0,8362.0,33035.0,0.75,0.25,0.0,0.31,0.21,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,
7,NoClone,55.0,24540.0,129.0,8311.0,33035.0,0.74,0.25,0.01,0.3,0.18,0.01,0.01,0.01,0.74,0.0,-0.0,0.82,0.05,0.0,
8,ThrowsCount,46.0,24560.0,109.0,8320.0,33035.0,0.74,0.25,0.0,0.3,0.17,0.01,0.0,0.01,0.74,0.0,-0.0,0.82,0.04,0.0,
9,UnnecessarySemicolonInEnumeration,49.0,24550.0,119.0,8317.0,33035.0,0.74,0.25,0.01,0.29,0.15,0.01,0.0,0.01,0.74,0.0,-0.0,0.82,0.05,0.0,
10,IllegalImport,7.0,24652.0,17.0,8359.0,33035.0,0.75,0.25,0.0,0.29,0.15,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,
11,ClassTypeParameterName,33.0,24588.0,81.0,8333.0,33035.0,0.75,0.25,0.0,0.29,0.14,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,
12,EmptyForInitializerPad,4.0,24659.0,10.0,8362.0,33035.0,0.75,0.25,0.0,0.29,0.13,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.01,0.0,
13,IllegalToken,54.0,24530.0,139.0,8312.0,33035.0,0.74,0.25,0.01,0.28,0.1,0.01,0.01,0.01,0.74,0.0,-0.0,0.82,0.05,0.0,
14,EqualsHashCode,37.0,24573.0,96.0,8329.0,33035.0,0.74,0.25,0.0,0.28,0.1,0.0,0.0,0.0,0.74,0.0,-0.0,0.82,0.04,0.0,
15,JavadocType,230.0,24070.0,599.0,8136.0,33035.0,0.74,0.25,0.03,0.28,0.1,0.03,0.02,0.03,0.73,0.0,-0.01,0.82,0.17,0.0,
16,SingleLineJavadoc,121.0,24351.0,318.0,8245.0,33035.0,0.74,0.25,0.01,0.28,0.09,0.01,0.01,0.01,0.74,0.0,-0.01,0.82,0.1,0.0,
17,GenericWhitespace,73.0,24478.0,191.0,8293.0,33035.0,0.74,0.25,0.01,0.28,0.09,0.01,0.01,0.01,0.74,0.0,-0.0,0.82,0.07,0.0,
18,PackageName,24.0,24606.0,63.0,8342.0,33035.0,0.75,0.25,0.0,0.28,0.09,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,
19,AtclauseOrder,445.0,23466.0,1203.0,7921.0,33035.0,0.72,0.25,0.05,0.27,0.07,0.05,0.05,0.05,0.72,0.0,-0.03,0.82,0.29,0.0,
20,JavadocTagContinuationIndentation,397.0,23598.0,1071.0,7969.0,33035.0,0.73,0.25,0.04,0.27,0.07,0.05,0.04,0.04,0.72,0.0,-0.03,0.82,0.26,0.0,
21,EmptyCatchBlock,290.0,23875.0,794.0,8076.0,33035.0,0.73,0.25,0.03,0.27,0.06,0.03,0.03,0.03,0.73,0.0,-0.02,0.82,0.21,0.0,
22,InnerAssignment,285.0,23894.0,775.0,8081.0,33035.0,0.73,0.25,0.03,0.27,0.06,0.03,0.03,0.03,0.73,0.0,-0.02,0.82,0.2,0.0,
23,TodoComment,680.0,22823.0,1846.0,7686.0,33035.0,0.71,0.25,0.08,0.27,0.06,0.08,0.07,0.07,0.71,0.0,-0.05,0.82,0.39,0.0,
24,MissingDeprecated,239.0,24018.0,651.0,8127.0,33035.0,0.73,0.25,0.03,0.27,0.06,0.03,0.03,0.03,0.73,0.0,-0.02,0.82,0.18,0.0,
25,InterfaceMemberImpliedModifier,822.0,22384.0,2285.0,7544.0,33035.0,0.7,0.25,0.09,0.26,0.04,0.1,0.09,0.08,0.7,0.0,-0.06,0.82,0.45,0.0,
26,AnnotationLocation,141.0,24267.0,402.0,8225.0,33035.0,0.74,0.25,0.02,0.26,0.03,0.02,0.02,0.02,0.74,0.0,-0.01,0.82,0.12,0.0,
27,OverloadMethodsDeclarationOrder,816.0,22356.0,2313.0,7550.0,33035.0,0.7,0.25,0.09,0.26,0.03,0.1,0.09,0.08,0.7,0.0,-0.06,0.82,0.45,0.0,
28,FinalClass,428.0,23461.0,1208.0,7938.0,33035.0,0.72,0.25,0.05,0.26,0.03,0.05,0.05,0.04,0.72,0.0,-0.03,0.82,0.28,0.0,
29,ClassMemberImpliedModifier,589.0,23002.0,1667.0,7777.0,33035.0,0.71,0.25,0.07,0.26,0.03,0.07,0.07,0.06,0.71,0.0,-0.04,0.82,0.36,0.0,
30,SimplifyBooleanReturn,34.0,24573.0,96.0,8332.0,33035.0,0.74,0.25,0.0,0.26,0.03,0.0,0.0,0.0,0.74,0.0,-0.0,0.82,0.04,0.0,
31,ArrayTrailingComma,152.0,24239.0,430.0,8214.0,33035.0,0.74,0.25,0.02,0.26,0.03,0.02,0.02,0.02,0.74,0.0,-0.01,0.82,0.13,0.0,
32,PackageDeclaration,25.0,24598.0,71.0,8341.0,33035.0,0.75,0.25,0.0,0.26,0.03,0.0,0.0,0.0,0.75,0.0,-0.0,0.82,0.03,0.0,
33,AbstractClassName,549.0,23099.0,1570.0,7817.0,33035.0,0.72,0.25,0.06,0.26,0.02,0.07,0.06,0.06,0.72,0.0,-0.04,0.82,0.34,0.0,
34,MissingSwitchDefault,464.0,23338.0,1331.0,7902.0,33035.0,0.72,0.25,0.05,0.26,0.02,0.06,0.05,0.05,0.72,0.0,-0.04,0.82,0.3,0.0,
35,HideUtilityClassConstructor,534.0,23136.0,1533.0,7832.0,33035.0,0.72,0.25,0.06,0.26,0.02,0.06,0.06,0.05,0.72,0.0,-0.04,0.82,0.34,0.0,
36,WhitespaceAfter,1383.0,20632.0,4037.0,6983.0,33035.0,0.67,0.25,0.16,0.26,0.01,0.17,0.16,0.11,0.67,0.0,-0.11,0.82,0.64,0.0,
