,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,comment
62,DefaultComesLast,3,10879,0,11172,22054,0.49,0.51,0.0,1.0,0.97,0.0,0.0,0.0,0.49,0.0,-0.03,
141,SuperClone,17,10876,3,11158,22054,0.49,0.51,0.0,0.85,0.68,0.0,0.0,0.0,0.49,0.0,-0.03,
110,UncommentedMain,8,10877,2,11167,22054,0.49,0.51,0.0,0.8,0.58,0.0,0.0,0.0,0.49,0.0,-0.03,
20,UnnecessarySemicolonInEnumeration,8,10876,3,11167,22054,0.49,0.51,0.0,0.73,0.44,0.0,0.0,0.0,0.49,0.0,-0.03,
69,EmptyForInitializerPad,2,10878,1,11173,22054,0.49,0.51,0.0,0.67,0.32,0.0,0.0,0.0,0.49,0.0,-0.03,
33,IllegalToken,6,10876,3,11169,22054,0.49,0.51,0.0,0.67,0.32,0.0,0.0,0.0,0.49,0.0,-0.03,
31,InterfaceIsType,2,10878,1,11173,22054,0.49,0.51,0.0,0.67,0.32,0.0,0.0,0.0,0.49,0.0,-0.03,
25,StaticVariableName,70,10842,37,11105,22054,0.49,0.51,0.0,0.65,0.29,0.01,0.0,0.01,0.49,0.0,-0.02,
57,AvoidEscapedUnicodeCharacters,14,10871,8,11161,22054,0.49,0.51,0.0,0.64,0.26,0.0,0.0,0.0,0.49,0.0,-0.03,
140,SimplifyBooleanReturn,12,10872,7,11163,22054,0.49,0.51,0.0,0.63,0.25,0.0,0.0,0.0,0.49,0.0,-0.03,
8,AbstractClassName,46,10851,28,11129,22054,0.49,0.51,0.0,0.62,0.23,0.0,0.0,0.0,0.49,0.0,-0.02,
92,RequireThis,5,10876,3,11170,22054,0.49,0.51,0.0,0.62,0.23,0.0,0.0,0.0,0.49,0.0,-0.03,
127,StringLiteralEquality,10,10873,6,11165,22054,0.49,0.51,0.0,0.62,0.23,0.0,0.0,0.0,0.49,0.0,-0.03,
129,MethodParamPad,54,10845,34,11121,22054,0.49,0.51,0.0,0.61,0.21,0.0,0.0,0.0,0.49,0.0,-0.02,
46,AbbreviationAsWordInName,43,10851,28,11132,22054,0.49,0.51,0.0,0.61,0.2,0.0,0.0,0.0,0.49,0.0,-0.03,
148,NoClone,9,10873,6,11166,22054,0.49,0.51,0.0,0.6,0.18,0.0,0.0,0.0,0.49,0.0,-0.03,
53,IllegalThrows,4,10876,3,11171,22054,0.49,0.51,0.0,0.57,0.13,0.0,0.0,0.0,0.49,0.0,-0.03,
108,NoWhitespaceAfter,131,10781,98,11044,22054,0.49,0.51,0.01,0.57,0.13,0.01,0.01,0.01,0.49,0.0,-0.02,
44,WriteTag,339,10625,254,10836,22054,0.5,0.51,0.03,0.57,0.13,0.03,0.02,0.03,0.49,0.01,-0.02,
126,EmptyBlock,73,10823,56,11102,22054,0.49,0.51,0.01,0.57,0.12,0.01,0.01,0.01,0.49,0.0,-0.02,
121,NoWhitespaceBefore,151,10760,119,11024,22054,0.49,0.51,0.01,0.56,0.1,0.01,0.01,0.01,0.49,0.0,-0.02,
5,TypeName,5,10875,4,11170,22054,0.49,0.51,0.0,0.56,0.1,0.0,0.0,0.0,0.49,0.0,-0.03,
48,ClassMemberImpliedModifier,63,10828,51,11112,22054,0.49,0.51,0.01,0.55,0.09,0.01,0.0,0.01,0.49,0.0,-0.03,
131,ExecutableStatementCount,264,10666,213,10911,22054,0.5,0.51,0.02,0.55,0.09,0.02,0.02,0.02,0.49,0.0,-0.02,
147,MissingJavadocType,226,10694,185,10949,22054,0.5,0.51,0.02,0.55,0.09,0.02,0.02,0.02,0.49,0.0,-0.02,
79,NeedBraces,420,10538,341,10755,22054,0.5,0.51,0.03,0.55,0.09,0.04,0.03,0.04,0.49,0.01,-0.02,
76,UnusedImports,422,10535,344,10753,22054,0.5,0.51,0.03,0.55,0.09,0.04,0.03,0.04,0.49,0.01,-0.02,
29,EmptyCatchBlock,103,10794,85,11072,22054,0.49,0.51,0.01,0.55,0.08,0.01,0.01,0.01,0.49,0.0,-0.02,
43,EqualsHashCode,12,10869,10,11163,22054,0.49,0.51,0.0,0.55,0.08,0.0,0.0,0.0,0.49,0.0,-0.03,
28,UnnecessaryParentheses,251,10670,209,10924,22054,0.5,0.51,0.02,0.55,0.08,0.02,0.02,0.02,0.49,0.0,-0.02,
54,AnonInnerLength,193,10715,164,10982,22054,0.49,0.51,0.02,0.54,0.07,0.02,0.02,0.02,0.49,0.0,-0.02,
61,AvoidInlineConditionals,481,10475,404,10694,22054,0.5,0.51,0.04,0.54,0.07,0.04,0.04,0.04,0.49,0.01,-0.02,
106,IllegalType,89,10804,75,11086,22054,0.49,0.51,0.01,0.54,0.07,0.01,0.01,0.01,0.49,0.0,-0.03,
